	label	article	year	article_id	src_wiki_id	sent	annotated	source	modifier	target	full_target_name	trg_wiki_id
526	1	nyt_corpus_1992.har/07/12/0542239.xml	1992.0	542239.0	Q207955	In an army that has as many men in running shoes and jeans jackets as in camouflage fatigues, Col. Divjak has become the Omar Bradley of the war, the soldiers' soldier who prefers to be where the action is.	In an army that has as many men in running shoes and jeans jackets as in camouflage fatigues, |Col. Divjak| has become the *Omar Bradley* of /the war/, the soldiers' soldier who prefers to be where the action is.	Omar Bradley	the war	Col. Divjak	Col. Jovan Divjak	Q716049
527	1	nyt_corpus_1990.har/06/17/0361800.xml	1990.0	361800.0	Q1507320	Born in 1772, Coleridge was in many ways the Shelley of the earlier generation of Romantic poets - brilliant, young, flamboyant, with a philosophical bent and radical ideals.	Born in 1772, |Coleridge| was in many ways the *Shelley* of /the earlier generation of Romantic poets/ - brilliant, young, flamboyant, with a philosophical bent and radical ideals.	Shelley	the earlier generation of Romantic poets	Coleridge	Coleridge	Q82409
528	1	nyt_corpus_1990.har/07/15/0368518.xml	1990.0	368518.0	Q40531	It is also the story of a driven man who sees himself as above the law, a John Wayne of the North, who isn't going to let himself be pushed around by judges.	It is also the story of |a driven man| who sees himself as above the law, a *John Wayne* of /the North/, who isn't going to let himself be pushed around by judges.	John Wayne	the North	a driven man	Colin Thatcher	Q5145617
529	1	nyt_corpus_1987.har/09/16/0074975.xml	1987.0	74975.0	Q332032	What became an intergallactic dud was ''the Alice Cooper of comets,'' according to Mr. Schaffer's publicity.	|What became an intergallactic dud| was ''the *Alice Cooper* of /comets/,'' according to Mr. Schaffer's publicity.	Alice Cooper	comets	What became an intergallactic dud	Comet Kahoutek	Q31428
530	1	nyt_corpus_1993.har/10/24/0644532.xml	1993.0	644532.0	Q130853	Ovations should be earned, not orchestrated, and you are not yet the Placido Domingo of late-night television.	Ovations should be earned, not orchestrated, and |you| are not yet the *Placido Domingo* of /late-night television/.	Placido Domingo	late-night television	you	Conan O'Brien	Q486740
531	1	nyt_corpus_2006.har/06/11/1768179.xml	2006.0	1768179.0	Q122634	If it is a tax, it's really the Robin Hood of taxes,'' Mr. Schwartz said.	If it is a tax, |it|'s really the *Robin Hood* of /taxes/,'' Mr. Schwartz said.	Robin Hood	taxes	it	congestion toll	Q13743387
532	1	nyt_corpus_2000.har/08/13/1222127.xml	2000.0	1222127.0	Q436386	Connecticut is the Rodney Dangerfield of American Politics,'' said Darrell West, a political science professor and director of the Taubman Center for Public Policy at Brown University.	|Connecticut| is the *Rodney Dangerfield* of /American Politics/,'' said Darrell West, a political science professor and director of the Taubman Center for Public Policy at Brown University.	Rodney Dangerfield	American Politics	Connecticut	Connecticut	Q779
533	1	nyt_corpus_2002.har/03/03/1372042.xml	2002.0	1372042.0	Q209921	The most notable casualty was Connie Hawkins, an inner-city Wunderkind who should have been the Julius Erving of his day but instead was sent home from the University of Iowa and spent his prime years banned from the National Basketball Association.	The most notable casualty was |Connie Hawkins|, an inner-city Wunderkind who should have been the *Julius Erving* of /his day/ but instead was sent home from the University of Iowa and spent his prime years banned from the National Basketball Association.	Julius Erving	his day	Connie Hawkins	Connie Hawkins	Q1126347
534	1	nyt_corpus_2004.har/03/21/1567972.xml	2004.0	1567972.0	Q12334423	Referring to the bartender in ''Cheers,'' she added, ''He's like the Sam Malone of the U.P.S.	Referring to the bartender in ''Cheers,'' she added, ''|He|'s like the *Sam Malone* of /the U.P.S./	Sam Malone	the U.P.S.	He	Constantine Totonis	
535	1	nyt_corpus_2002.har/12/29/1452372.xml	2002.0	1452372.0	Q5592	Mr. Byrd has occupied an extraordinarily beautiful suite, resplendent with frescoes by Constantino Brumidi, the Italian artist often called the Michelangelo of the Capitol.	Mr. Byrd has occupied an extraordinarily beautiful suite, resplendent with frescoes by |Constantino Brumidi|, the Italian artist often called the *Michelangelo* of /the Capitol/.	Michelangelo	the Capitol	Constantino Brumidi	Constantino Brumidi	Q983643
536	1	nyt_corpus_1999.har/01/03/1074221.xml	1999.0	1074221.0	Q79031	We aim to be the Tyson of goats,'' said Stuart Weiss, a co-owner.	|We| aim to be the *Tyson* of /goats/,'' said Stuart Weiss, a co-owner.	Tyson	goats	We	Continental Chevon Company	
537	1	nyt_corpus_1994.har/01/29/0665224.xml	1994.0	665224.0	Q927916	Cookie was the Jim Brown of the American Football League; he was the icon of the league, said Booker Edgerson, a member of the Bills 1964 championship team and a 10-year veteran.	|Cookie| was the *Jim Brown* of /the American Football League/; he was the icon of the league, said Booker Edgerson, a member of the Bills 1964 championship team and a 10-year veteran.	Jim Brown	the American Football League	Cookie	Cookie Gilchrist	Q5167079
538	1	nyt_corpus_1995.har/11/12/0808386.xml	1995.0	808386.0	Q150851	"That sense was used by Shakespeare in a play about Coriolanus, the Colin Powell of his ancient time: ""I say unto you, what he hath done Famouslie."	"That sense was used by Shakespeare in a play about |Coriolanus|, the *Colin Powell* of /his ancient time/: ""I say unto you, what he hath done Famouslie."	Colin Powell	his ancient time	Coriolanus	Coriolanus	Q570532
539	1	nyt_corpus_2002.har/04/16/1384529.xml	2002.0	1384529.0	Q60206	Larry Summers strikes me as the Ariel Sharon of American higher education,'' Dr. West said today.	Larry Summers strikes |me| as the *Ariel Sharon* of /American higher education/,'' Dr. West said today.	Ariel Sharon	American higher education	me	Cornel West	Q712469
540	1	nyt_corpus_2006.har/04/22/1756192.xml	2006.0	1756192.0	Q436386	Image committee members say that students' morale and sense of self-worth is caught up in the university's standing, though they deny that they see the school as the Rodney Dangerfield of the Ivy League.	Image committee members say that students' morale and sense of self-worth is caught up in the university's standing, though they deny that they see |the school| as the *Rodney Dangerfield* of /the Ivy League/.	Rodney Dangerfield	the Ivy League	the school	Cornell	Q49115
541	1	nyt_corpus_2002.har/11/29/1444510.xml	2002.0	1444510.0	Q366563	Corny Collins is ''the Dick Clark of Baltimore,'' Mr. Thorell said.	|Corny Collins| is ''the *Dick Clark* of /Baltimore/,'' Mr. Thorell said.	Dick Clark	Baltimore	Corny Collins	Corny Collins	Q54864303
542	1	nyt_corpus_1997.har/09/07/0955919.xml	1997.0	955919.0	Q190924	Like the shape of the olive wreath that crowned its first winner, Coroebus, the Michael Johnson of his time, the Olympics has now come full circle.	Like the shape of the olive wreath that crowned its first winner, |Coroebus|, the *Michael Johnson* of /his time/, the Olympics has now come full circle.	Michael Johnson	his time	Coroebus	Coroebus	Q45098
543	1	nyt_corpus_2002.har/11/04/1437699.xml	2002.0	1437699.0	Q6105295	I'm not saying we'll be the J. D. Power of corporate governance,'' said Jack Kemp, the former Cabinet secretary and chairman of the new venture, referring to the reviewer of automobiles.	I'm not saying |we|'ll be the *J. D. Power* of /corporate governance/,'' said Jack Kemp, the former Cabinet secretary and chairman of the new venture, referring to the reviewer of automobiles.	J. D. Power	corporate governance	we	Corporate Diagnostics	
544	1	nyt_corpus_2007.har/05/20/1848767.xml	2007.0	1848767.0	Q126462	'You're going to see a real revolution,'' she predicted, sounding a bit like a Thomas Paine of retro play.	You're going to see a real revolution,'' |she| predicted, sounding a bit like a *Thomas Paine* of /retro play/.	Thomas Paine	retro play	she	CORY ABATE-SHEN	
545	1	nyt_corpus_2003.har/03/02/1468986.xml	2003.0	1468986.0	Q5171165	The cosmopolitan was a kind of fast debutante that showed up in the 1980's and 90's -- the Cornelia Guest of cocktails.	|The cosmopolitan| was a kind of fast debutante that showed up in the 1980's and 90's -- the *Cornelia Guest* of /cocktails/.	Cornelia Guest	cocktails	The cosmopolitan	cosmopolitan	Q268057
546	1	nyt_corpus_1990.har/05/21/0355274.xml	1990.0	355274.0	Q961660	Once I told him I was staying in Phoenix for good, I kind of became the Red Holzman of the West Coast.	Once I told him I was staying in Phoenix for good, |I| kind of became the *Red Holzman* of /the West Coast/.	Red Holzman	the West Coast	I	Cotton Fitzsimmons	Q1136778
547	1	nyt_corpus_1998.har/07/05/1029740.xml	1998.0	1029740.0	Q436386	But the Chancellor has shown little inclination to bargain, prompting the union to dash off a news release the other day urging him ''to treat workers with respect'' -- a line that seemed apt for an organization that, in one sense, is the Rodney Dangerfield of municipal unions.	But the Chancellor has shown little inclination to bargain, prompting the union to dash off a news release the other day urging him ''to treat workers with respect'' -- a line that seemed apt for |an organization| that, in one sense, is the *Rodney Dangerfield* of /municipal unions/.	Rodney Dangerfield	municipal unions	an organization	Council of Supervisors and Administrators	Q5176496
548	1	nyt_corpus_1994.har/11/15/0725647.xml	1994.0	725647.0	Q4724	Courreges was often called the Corbusier of Paris couture when his career peaked in 1965.	|Courreges| was often called the *Corbusier* of /Paris couture/ when his career peaked in 1965.	Corbusier	Paris couture	Courreges	Courreges	Q465447
549	1	nyt_corpus_2001.har/07/15/1309291.xml	2001.0	1309291.0	Q4724	Because Courrèges, who is called the Le Corbusier of Paris couture, made French precision hip.	Because |Courrèges|, who is called the *Le Corbusier* of /Paris couture/, made French precision hip.	Le Corbusier	Paris couture	Courrèges	Courrèges	Q465447
550	1	nyt_corpus_1994.har/09/23/0713760.xml	1994.0	713760.0	Q117012	But Ms. Love won't be the Yoko Ono of alternative rock, mourning with the fans.	But |Ms. Love| won't be the *Yoko Ono* of /alternative rock/, mourning with the fans.	Yoko Ono	alternative rock	Ms. Love	Courtney Love	Q222071
551	1	nyt_corpus_1989.har/07/06/0263999.xml	1989.0	263999.0	Q54168	Mr. McCaw ''fancies himself as the early industrialists did, as the J. P. Morgan of cellular,'' said Jack B. Grubman, an analyst with Paine Webber Inc.	|Mr. McCaw| ''fancies himself as the early industrialists did, as the *J. P. Morgan* of /cellular/,'' said Jack B. Grubman, an analyst with Paine Webber Inc.	J. P. Morgan	cellular	Mr. McCaw	Craig O. McCaw	Q93536
552	1	nyt_corpus_1998.har/08/23/1040905.xml	1998.0	1040905.0	Q5284	The question scientists are asking,'' says Lori Andrews, a professor of law at the Chicago-Kent College of Law, ''is does he want to be the Bill Gates of the human genome?''	The question scientists are asking,'' says Lori Andrews, a professor of law at the Chicago-Kent College of Law, ''is does |he| want to be the *Bill Gates* of /the human genome/?''	Bill Gates	the human genome	he	Craig Venter	Q311003
553	1	nyt_corpus_1992.har/06/25/0538457.xml	1992.0	538457.0	Q153032	It is the Mona Lisa of early American landscapes, Mr. Poston said.	|It| is the *Mona Lisa* of /early American landscapes/, Mr. Poston said.	Mona Lisa	early American landscapes	It	Crowfield Plantation	
554	1	nyt_corpus_2004.har/10/20/1620574.xml	2004.0	1620574.0	Q232280	This dining room, in Greenwich Village, was cast as doomed, damned, possessed: the Linda Blair of culinary environments.	|This dining room|, in Greenwich Village, was cast as doomed, damned, possessed: the *Linda Blair* of /culinary environments/.	Linda Blair	culinary environments	This dining room	Cru	
555	1	nyt_corpus_2003.har/10/09/1525859.xml	2003.0	1525859.0	Q26806	Short, stocky and balding, Mr. Bustamante described himself as the Danny DeVito of the recall race.	Short, stocky and balding, |Mr. Bustamante| described himself as the *Danny DeVito* of /the recall race/.	Danny DeVito	the recall race	Mr. Bustamante	Cruz M. Bustamante	Q5190307
556	1	nyt_corpus_2007.har/03/28/1836163.xml	2007.0	1836163.0	Q41421	Each factory has a basketball team, and Mr. Thomas, a first-round draft pick, emerges as the Michael Jordan of the South Korean penal system.	Each factory has a basketball team, and |Mr. Thomas|, a first-round draft pick, emerges as the *Michael Jordan* of /the South Korean penal system/.	Michael Jordan	the South Korean penal system	Mr. Thomas	Cullen Thomas	
557	1	nyt_corpus_2006.har/11/10/1803630.xml	2006.0	1803630.0	Q7245	Cummins is the Mark Twain of the engine business,'' said Mike Osega, the publisher of the trade magazine Diesel Progress.	|Cummins| is the *Mark Twain* of /the engine business/,'' said Mike Osega, the publisher of the trade magazine Diesel Progress.	Mark Twain	the engine business	Cummins	Cummins	Q173476
558	1	nyt_corpus_1987.har/09/07/0072432.xml	1987.0	72432.0	Q1225	What's more, Mr. Fryer added, the Governor is ''the Bruce Springsteen of politics.''	What's more, Mr. Fryer added, |the Governor| is ''the *Bruce Springsteen* of /politics/.''	Bruce Springsteen	politics	the Governor	Cuomo	Q521145
559	1	nyt_corpus_2006.har/01/11/1731146.xml	2006.0	1731146.0	Q436386	Yes, curling, a Rodney Dangerfield of Olympic sports, one that gets no respect, one that has been mocked by David Letterman.	Yes, |curling|, a *Rodney Dangerfield* of /Olympic sports/, one that gets no respect, one that has been mocked by David Letterman.	Rodney Dangerfield	Olympic sports	curling	curling	Q136851
560	1	nyt_corpus_2006.har/05/14/1761444.xml	2006.0	1761444.0	Q213812	Edelstein, a motor-sports writer for TV Guide, chronicles the bumpy career of Curtis Turner (1924-70), who ran moonshine in the Virginia hills as a teenager and blazed a dirt trail to stardom during Nascar's early years, earning the title of ''the Babe Ruth of stock-car racing.''	Edelstein, a motor-sports writer for TV Guide, chronicles the bumpy career of |Curtis Turner| (1924-70), who ran moonshine in the Virginia hills as a teenager and blazed a dirt trail to stardom during Nascar's early years, earning the title of ''the *Babe Ruth* of /stock-car racing/.''	Babe Ruth	stock-car racing	Curtis Turner	Curtis Turner	Q536818
561	1	nyt_corpus_2005.har/05/22/1674615.xml	2005.0	1674615.0	Q213812	Turner's track record was dazzling -- he ''won more than 350 races, driving on any surface he could find,'' Edelstein writes, eventually earning the title of ''the Babe Ruth of Stock-Car Racing'' -- but his off-track record, especially in light of Nascar's efforts to remake their drivers as gassed-up Mouseketeers, was downright dizzying.	Turner's track record was dazzling -- |he| ''won more than 350 races, driving on any surface he could find,'' Edelstein writes, eventually earning the title of ''the *Babe Ruth* of /Stock-Car Racing/'' -- but his off-track record, especially in light of Nascar's efforts to remake their drivers as gassed-up Mouseketeers, was downright dizzying.	Babe Ruth	Stock-Car Racing	he	Curtis Turner	Q536818
562	1	nyt_corpus_2004.har/10/22/1621023.xml	2004.0	1621023.0	Q107008	At 75, the Count Basie of cocktail jazz piano still commands the keyboard with the authority of a sharpshooter who never misses.	At 75, the *Count Basie* of /cocktail jazz piano/ still commands the keyboard with the authority of a sharpshooter who never misses.	Count Basie	cocktail jazz piano		CY COLEMAN	Q1146861
563	1	nyt_corpus_2000.har/08/28/1226010.xml	2000.0	1226010.0	Q134183	Cynthia Cooper is the Michael Jordan, the Larry Bird, the Magic Johnson of this league,'' Rich Adubato, the coach of the New York Liberty, said.	|Cynthia Cooper| is the Michael Jordan, the Larry Bird, the *Magic Johnson* of /this league/,'' Rich Adubato, the coach of the New York Liberty, said.	Magic Johnson	this league	Cynthia Cooper	Cynthia Cooper	Q271409
564	1	nyt_corpus_1994.har/04/28/0683662.xml	1994.0	683662.0	Q83359	His death at the age of 35 has turned him into the James Dean of the 1990's, proclaimed Paris Match, one of numerous magazines that carried his photograph on its cover.	His death at the age of 35 has turned |him| into the *James Dean* of /the 1990's/, proclaimed Paris Match, one of numerous magazines that carried his photograph on its cover.	James Dean	the 1990's	him	Cyril Collard	Q504708
565	1	nyt_corpus_1998.har/09/10/1045188.xml	1998.0	1045188.0	Q3308441	Where else could you find Czarina Oksana Borzoi Diva Dog Needlenose of MuffinTush, the Ann Landers of canine expatriate nobility, who answers questions that borzois and other dogs instruct their human servants to E-mail to her?	Where else could you find |Czarina Oksana Borzoi Diva Dog Needlenose of MuffinTush|, the *Ann Landers* of /canine expatriate nobility/, who answers questions that borzois and other dogs instruct their human servants to E-mail to her?	Ann Landers	canine expatriate nobility	Czarina Oksana Borzoi Diva Dog Needlenose of MuffinTush	Czarina Oksana Borzoi Diva Dog Needlenose of MuffinTush	
566	1	nyt_corpus_2002.har/07/25/1410921.xml	2002.0	1410921.0	Q41421	He learned much from Lukas, who statistically is the Michael Jordan of horse racing, and he is grateful.	He learned much from |Lukas|, who statistically is the *Michael Jordan* of /horse racing/, and he is grateful.	Michael Jordan	horse racing	Lukas	D. Wayne Lukas	Q5203875
567	1	nyt_corpus_2003.har/06/13/1496389.xml	2003.0	1496389.0	Q336519	Dale has the ability to cut through confusion with a swift, amused turn of phrase; he could be the Elmore Leonard of cons.	Dale has the ability to cut through confusion with a swift, amused turn of phrase; |he| could be the *Elmore Leonard* of /cons/.	Elmore Leonard	cons	he	Dale	
568	1	nyt_corpus_1997.har/02/18/0909767.xml	1997.0	909767.0	Q887520	He's the Harold Stassen of Daytona.	|He|'s the *Harold Stassen* of /Daytona/.	Harold Stassen	Daytona	He	Dale Earnhardt	Q355420
569	1	nyt_corpus_2003.har/10/26/1530036.xml	2003.0	1530036.0	Q653333	Not only has he managed to get himself talked about (''Dale Peck is the Michael Ovitz of the literary world,'' says the literary agent Bonnie Nadell); he has managed to stir up a debate over the practice of book reviewing -- its status, its value, its effect on our literary culture.	Not only has he managed to get himself talked about (''|Dale Peck| is the *Michael Ovitz* of /the literary world/,'' says the literary agent Bonnie Nadell); he has managed to stir up a debate over the practice of book reviewing -- its status, its value, its effect on our literary culture.	Michael Ovitz	the literary world	Dale Peck	Dale Peck	Q1157861
570	1	nyt_corpus_1994.har/03/04/0672349.xml	1994.0	672349.0	Q22686	"Unbeknownst to Jack until it's too late, his hostage, Natalie Voss (Kristy Swanson), happens to be the only daughter of a publicity-hungry billionaire (Ray Wise) known as ""the Donald Trump of California."""	"Unbeknownst to Jack until it's too late, his hostage, Natalie Voss (Kristy Swanson), happens to be the only daughter of |a publicity-hungry billionaire (Ray Wise)| known as ""the *Donald Trump* of /California/."""	Donald Trump	California	a publicity-hungry billionaire (Ray Wise)	Dalton Voss	
571	1	nyt_corpus_2003.har/06/03/1494048.xml	2003.0	1494048.0	Q41421	He was the Michael Jordan of Indiana.	|He| was the *Michael Jordan* of /Indiana/.	Michael Jordan	Indiana	He	Damon Bailey	Q2652381
572	1	nyt_corpus_1994.har/03/22/0676038.xml	1994.0	676038.0	Q192707	Mostly recruited only by Big Ten Conference schools, he has been dubbed the Charles Barkley of Marquette's conference, the Great Midwest.	Mostly recruited only by Big Ten Conference schools, |he| has been dubbed the *Charles Barkley* of /Marquette's conference/, the Great Midwest.	Charles Barkley	Marquette's conference	he	Damon Key	Q100870154
573	1	nyt_corpus_1990.har/07/02/0365330.xml	1990.0	365330.0	Q7693393	Left-handed all the way, standing 6 feet 2 inches and weighing about 200 pounds, he might have been the Ted Kluszewski of his day; he certainly swung the bat like one.	Left-handed all the way, standing 6 feet 2 inches and weighing about 200 pounds, |he| might have been the *Ted Kluszewski* of /his day/; he certainly swung the bat like one.	Ted Kluszewski	his day	he	Dan Brouthers	Q284797
574	1	nyt_corpus_2006.har/05/28/1764810.xml	2006.0	1764810.0	Q7377586	But in interviews, a rough outline emerges that casts Mr. Colen as the Richard Hatch -- albeit clothed -- or at least the Rudy Boesch of the show's contemporary-art island, and that tends to make Ms. Stupak, because of her already-established art connections, something of a diva.	But in interviews, a rough outline emerges that casts |Mr. Colen| as the Richard Hatch -- albeit clothed -- or at least the *Rudy Boesch* of /the show's contemporary-art island/, and that tends to make Ms. Stupak, because of her already-established art connections, something of a diva.	Rudy Boesch	the show's contemporary-art island	Mr. Colen	Dan Colen	Q507142
575	1	nyt_corpus_2000.har/05/07/1197350.xml	2000.0	1197350.0	Q2685	He was the Arnold Schwarzenegger of his day, three times named ''America's Most Muscular Man.''	|He| was the *Arnold Schwarzenegger* of /his day/, three times named ''America's Most Muscular Man.''	Arnold Schwarzenegger	his day	He	DAN LURIE	Q5213904
576	1	nyt_corpus_1994.har/08/04/0704092.xml	1994.0	704092.0	Q357444	Dan Marino, the Lou Gehrig of quarterbacks, had surely been dipped in the waters of the river Styx.	|Dan Marino|, the *Lou Gehrig* of /quarterbacks/, had surely been dipped in the waters of the river Styx.	Lou Gehrig	quarterbacks	Dan Marino	Dan Marino	Q195367
577	1	nyt_corpus_2000.har/03/14/1183800.xml	2000.0	1183800.0	Q213812	He is the Babe Ruth of football,'' Mr. Molinary said, standing outside the Dolphins' training camp in Davie today as, inside, Marino announced his retirement.	|He| is the *Babe Ruth* of /football/,'' Mr. Molinary said, standing outside the Dolphins' training camp in Davie today as, inside, Marino announced his retirement.	Babe Ruth	football	He	Dan Marino	Q195367
578	1	nyt_corpus_1998.har/10/25/1056575.xml	1998.0	1056575.0	Q80048	This frees up Jonathan to sprinkle his acidic wit on art experts and thieves like Dan Menzies (''the Al Capone of restoration''), who has been engaged by the monastery to apply his savage artistry to its dubious Caravaggio.	This frees up Jonathan to sprinkle his acidic wit on art experts and thieves like |Dan Menzies| (''the *Al Capone* of /restoration/''), who has been engaged by the monastery to apply his savage artistry to its dubious Caravaggio.	Al Capone	restoration	Dan Menzies	Dan Menzies	
579	1	nyt_corpus_2002.har/04/27/1387477.xml	2002.0	1387477.0	Q41980	Contemporary accounts called Rice ''the Democritus of the sawdust,'' the ''prince of waggery'' -- and the ''excruciating jester.''	Contemporary accounts called |Rice| ''the *Democritus* of /the sawdust/,'' the ''prince of waggery'' -- and the ''excruciating jester.''	Democritus	the sawdust	Rice	Dan Rice	Q4389170
580	1	nyt_corpus_1997.har/10/16/0965519.xml	1997.0	965519.0	Q297142	He was the Joe DiMaggio of legislators,'' said his friend Thomas Lyons, the chairman of the Cook County Democratic Party.	|He| was the *Joe DiMaggio* of /legislators/,'' said his friend Thomas Lyons, the chairman of the Cook County Democratic Party.	Joe DiMaggio	legislators	He	Dan Rostenkowski	Q963898
581	1	nyt_corpus_1994.har/11/10/0724557.xml	1994.0	724557.0	Q4009028	A comedian on the verge of becoming the Vaughn Meader of our time got a reprieve when the Bush son who most resembles Dad, George W., won.	|A comedian| on the verge of becoming the *Vaughn Meader* of /our time/ got a reprieve when the Bush son who most resembles Dad, George W., won.	Vaughn Meader	our time	A comedian	Dana Carvey	Q545924
582	1	nyt_corpus_2006.har/03/12/1746205.xml	2006.0	1746205.0	Q1514	Students have called her the drill sergeant of love and the Janis Joplin of yoga.	Students have called |her| the drill sergeant of love and the *Janis Joplin* of /yoga/.	Janis Joplin	yoga	her	Dana Flynn	
583	1	nyt_corpus_1999.har/01/17/1077677.xml	1999.0	1077677.0	Q12591	Although just six square miles, it is grand and bold, a Nebuchadnezzar of Champagne as opposed to the split that is Laguna Beach.	Although just six square miles, |it| is grand and bold, a *Nebuchadnezzar* of /Champagne/ as opposed to the split that is Laguna Beach.	Nebuchadnezzar	Champagne	it	Dana Point	Q852638
584	1	nyt_corpus_2006.har/09/17/1790422.xml	2006.0	1790422.0	Q271712	If there were any doubt, Golden's muckraking investigation -- he's the Ida Tarbell of college admissions -- reveals that almost every word uttered by representatives of the top colleges about the care and nuance and science of the much vaunted admissions process is bunk.	If there were any doubt, Golden's muckraking investigation -- |he|'s the *Ida Tarbell* of /college admissions/ -- reveals that almost every word uttered by representatives of the top colleges about the care and nuance and science of the much vaunted admissions process is bunk.	Ida Tarbell	college admissions	he	Daniel Golden	Q5217296
585	1	nyt_corpus_2004.har/07/15/1596782.xml	2004.0	1596782.0	Q8768	Daniel Jackling has been called the Henry Ford of minerals, developing the process by which copper is extracted from low-grade ore and pioneering the open-pit copper strip mine.	|Daniel Jackling| has been called the *Henry Ford* of /minerals/, developing the process by which copper is extracted from low-grade ore and pioneering the open-pit copper strip mine.	Henry Ford	minerals	Daniel Jackling	Daniel Jackling	Q5216714
586	1	nyt_corpus_2001.har/06/07/1299535.xml	2001.0	1299535.0	Q322555	Mr. Okrent, considered the Abner Doubleday of Rotisserie baseball, said Rotisserie leagues and the later fantasy games had created a wider market for the profusion of statistics that evaluate the productivity of players more and more precisely.	|Mr. Okrent|, considered the *Abner Doubleday* of /Rotisserie baseball/, said Rotisserie leagues and the later fantasy games had created a wider market for the profusion of statistics that evaluate the productivity of players more and more precisely.	Abner Doubleday	Rotisserie baseball	Mr. Okrent	Daniel Okrent	Q1223552
587	1	nyt_corpus_1994.har/08/07/0704518.xml	1994.0	704518.0	Q3308441	"Daniel S. Hamermesh, a professor of economics at the University of Texas at Austin who has published several articles on academic etiquette and jokingly calls himself the Ann Landers of higher education, says he thinks young professors ""may be even meaner than their predecessors because they grew up in the 'Me Generation,' believing that virtually everything is due them."""	"|Daniel S. Hamermesh|, a professor of economics at the University of Texas at Austin who has published several articles on academic etiquette and jokingly calls himself the *Ann Landers* of /higher education/, says he thinks young professors ""may be even meaner than their predecessors because they grew up in the 'Me Generation,' believing that virtually everything is due them."""	Ann Landers	higher education	Daniel S. Hamermesh	Daniel S. Hamermesh	Q1162467
588	1	nyt_corpus_1997.har/12/31/0984216.xml	1997.0	984216.0	Q529276	A prolific writer of prose and poetry, he has also been called by literary critics the Studs Terkel of Sicily,  although Mr. Dolci was the first of the two to chronicle the lives of workers.	A prolific writer of prose and poetry, |he| has also been called by literary critics the *Studs Terkel* of /Sicily/,  although Mr. Dolci was the first of the two to chronicle the lives of workers.	Studs Terkel	Sicily	he	Danilo Dolci	Q2725433
589	1	nyt_corpus_1996.har/12/20/0896612.xml	1996.0	896612.0	Q51516	He spoke with his usual candor, and his partner, Verne Lundquist, thought he might eventually become ''the John Madden of basketball announcers.''	He spoke with his usual candor, and his partner, Verne Lundquist, thought |he| might eventually become ''the *John Madden* of /basketball announcers/.''	John Madden	basketball announcers	he	Danny Ainge	Q918347
590	1	nyt_corpus_2001.har/07/15/1309545.xml	2001.0	1309545.0	Q234606	People say they want products that are environmentally friendly,'' said Danny Seo, 24, who has been called the Martha Stewart of organic style.	People say they want products that are environmentally friendly,'' said |Danny Seo|, 24, who has been called the *Martha Stewart* of /organic style/.	Martha Stewart	organic style	Danny Seo	Danny Seo	Q1164751
591	1	nyt_corpus_2002.har/04/25/1386953.xml	2002.0	1386953.0	Q234606	Resourcefulness -- I call it finding your inner MacGyver,'' said Danny Seo, 25, the author of ''Conscious Style Home'' (St. Martin's, 2001), who has been called the Martha Stewart of organic style.	Resourcefulness -- I call it finding your inner MacGyver,'' said |Danny Seo|, 25, the author of ''Conscious Style Home'' (St. Martin's, 2001), who has been called the *Martha Stewart* of /organic style/.	Martha Stewart	organic style	Danny Seo	Danny Seo	Q1164751
592	1	nyt_corpus_1998.har/03/08/1000310.xml	1998.0	1000310.0	Q888675	; Danny Showers, the Bobby Short of the West, lounge singer at the Westin Tabor Center in Denver ''You learn to read the business week like a good book.	; |Danny Showers|, the *Bobby Short* of /the West/, lounge singer at the Westin Tabor Center in Denver ''You learn to read the business week like a good book.	Bobby Short	the West	Danny Showers	Danny Showers	
593	1	nyt_corpus_2005.har/07/28/1690536.xml	2005.0	1690536.0	Q3268056	Seeing his students' comedy credits made him feel like ''the Mr. Chips of comedy writing,'' he said.	Seeing his students' comedy credits made |him| feel like ''the *Mr. Chips* of /comedy writing/,'' he said.	Mr. Chips	comedy writing	him	Danny Simon	Q5220831
594	1	nyt_corpus_2005.har/07/08/1685772.xml	2005.0	1685772.0	Q345231	He's the Evel Knievel of skateboarding.''	|He|'s the *Evel Knievel* of /skateboarding/.''	Evel Knievel	skateboarding	He	Danny Way	Q465755
595	1	nyt_corpus_2000.har/09/10/1229180.xml	2000.0	1229180.0	Q726071	We wanted to get Dar Williams because she is the Jimmy Buffett of the young folk crowd.	We wanted to get Dar Williams because |she| is the *Jimmy Buffett* of /the young folk crowd/.	Jimmy Buffett	the young folk crowd	she	Dar Williams	Q273910
596	1	nyt_corpus_2003.har/10/04/1524605.xml	2003.0	1524605.0	Q278804	Royal, the Bear Bryant of Texas, led the Longhorns to three national championships in his 20 seasons here, from 1957 to 1976.	|Royal|, the *Bear Bryant* of /Texas/, led the Longhorns to three national championships in his 20 seasons here, from 1957 to 1976.	Bear Bryant	Texas	Royal	Darrell Royal	Q5224705
597	1	nyt_corpus_2000.har/01/23/1170962.xml	2000.0	1170962.0	Q51516	He has the je ne sais quoi that will make him the John Madden of racing, said David Hill, chairman of the Fox Sports Television Group.	He has the je ne sais quoi that will make |him| the *John Madden* of /racing/, said David Hill, chairman of the Fox Sports Television Group.	John Madden	racing	him	Darrell Waltrip	Q946220
